strain,type,rating,effects,flavor,description
Godzilla,indica,4.3,"Relaxed,Euphoric,Happy,Hungry,Tingly","Earthy,Flowery,Woody","Crafted from the genetics of God Bud, Godzilla is a mostly indica strain bred by Caña de España specifically for hot climates. Crushing euphoria and sedation are delivered alongside a sour berry flavor accented with subtle notes of vanilla. Thoughts wander away, taking with them stress, anxiety, and depression. After some time, Godzilla’s effects subside to clearheaded, functional bliss. Patients treating pain and muscle spasms may find relief in Godzilla’s potent and tranquilizing onset. Following a 55 day flowering cycle indoors or at the end of September outdoors, this indica produces colorfully vibrant buds of green and purple hues."
Godzilla-Blood,hybrid,0,None,None,"Godzilla Blood by Pua Mana 1st Hawaiian Pakalolo Seed Bank is a combination of rare Hawaiian genetics and the ever-potent, GG4. It was created by crossing Godzilla Glue (GG4 x Kona Gold) and The Blood BX2, which is known for its outstanding potency. This strain emits a deep aroma of tropical earth intermixed with spicy, hashy notes. The flavor is sweet and hashy with touches of pungent chemical on the exhale. Godzilla Glue produces especially resinous buds that make it ideal for extraction and high-tolerance consumers looking to up their cannabinoid content.   "
Godzilla-Glue,hybrid,4.7,"Uplifted,Focused,Happy,Relaxed,Euphoric","Tropical,Spicy/Herbal,Sweet","Godzilla Glue by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a blend of Gorilla Glue #4 from Amazon Organics and Pua Mana’s own Killa Kine King Kamehameha Kailua-Kona Gold. This sticky, tropical coupling produces monstrous green stalks with fat, resinous colas that reek of pungent earth and pine with a hint of sweet tropical breeze. Godzilla Glue’s powerful euphoria is suited for seasoned consumers. It can become rather sedative with continued consumption, so enjoy Godzilla Glue with care. This strain’s high-THC content and robust genetics make it a welcome challenge for strain hunters and heavyweights.    "
Gog-Magog,indica,4.5,"Sleepy,Hungry,Uplifted,Euphoric,Happy","Earthy,Pungent,Spicy/Herbal","Gog & Magog, a strain produced by Israeli cannabis suppliers Tikun Olam, is an 80/20 indica-dominant hybrid. This variety is a top choice for patients seeking high-THC strains to treat conditions like nausea, inflammation, pain, and glaucoma. Gog & Magog are names referenced in the Qur'an and throughout the Bible."
Goji-Diesel,hybrid,4.8,"Euphoric,Focused,Uplifted,Creative,Happy",Diesel,"Goji Diesel is an uplifting strain brought to us by The Blowing Tree out of Providence, Rhode Island. This particular Diesel is a cross of Goji OG by Bodhi Seeds and CBDiesel by MTG Seeds. This hybrid has over 100 phenotypes in the wild and has been known to yield over a pound and half per plant with a relative THC content of 24%. With notes of diesel and a rich earthy undertone, this strain is energizing and cerebral, making it an excellent option for creatives seeking a change in mood.   "
Goji-Og,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Berry,Citrus","Goji OG is a sativa-dominant hybrid bred by Bodhi Seeds crossed between Nepali OG and Snow Lotus. The flavor is as unique as the berry it's named after, offering a dynamic aroma including red berry, black cherry, strawberry, hawaiian punch, and licorice. Indoor or outdoor grows offer high yields with a flowering time of around 9 weeks. "
Gold-Kings-Thai,sativa,4.5,"Energetic,Happy,Aroused,Uplifted,Creative","Earthy,Citrus,Lime","Gold King’s Thai (also known as Gold King’s Thai Stick) is the historical seed stock from a 1979 Thai Stick mother gathered by Gold King. This heirloom lineage is a special and rare cut that grows tight, colorful buds contrary to the traditional lanky stocks of Southeast Asia. During maturation, the plant’s trichome dusted foliage transitions to a light amber/gold, contrasting against the purple and red hues of its leaves. The aroma is floral and tropical without being overpowering. Gold King’s Thai has an extended 9 to 11 week flowering cycle, but is well worth the wait for classic strain hunters.  "
Goldberry,indica,4.5,"Euphoric,Tingly,Creative,Happy,Focused","Mint,Earthy,Woody","The Goldberry strain is a result of crossing the very popular indica Pot of Gold with Blueberry. Goldberry produces big, fluffy buds that are covered in crystals and often have deep orangey-red hairs. The flowers smell like fresh fruit—lemons and berries, to be specific—while the taste is reminiscent of blueberry lemonade with a slight skunky aftertaste. This hybrid is described as optimal for pain relief and relaxation due to its indica qualities."
Golden-Calyx,sativa,5,"Relaxed,Uplifted,Energetic,Happy,Aroused","Sweet,Citrus,Tropical","Golden Calyx by Calyx Garden in a sativa-dominant cross of a Platinum Calyx father and a Golden Goat mother. The Golden Calyx phenotype was chosen for its unique expression of the best attributes of its parent. This includes a mind-boggling aroma of piña colada, bubble gum, and lavender alongside uplifting physical effects that help stave off fatigue and nausea. Golden Calyx produces a healthy yield over its 8 to 9 week flowering cycle. "
Golden-Gage,hybrid,4.4,"Happy,Energetic,Talkative,Giggly,Uplifted","Pepper,Spicy/Herbal,Citrus","Golden Gage by Green Gage Genetics is a wooly sativa-dominant hybrid with neon-orange pistils and trichome-laden foliage that will make your fingers sticky. By crossing Golden Goat and Joseph OG, the breeders at Gage Green created a special cut with truly lifted attributes. Anticipate powerful, creative euphoria and spiced, hashy flavors with hints of citrus beneath. This strain is ideal for consumers looking for mental stimulation that plays well outside, at the club, with breakfast, or after work.   "
Golden-Goat,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Sweet,Citrus,Tropical","Golden Goat was created by accident in Topeka, Kansas, when a male Hawaiian-Romulan pollinated Mr. Dank's Island Sweet Skunk mother. The strain is often light green and pink in color, which is indicative of its Hawaiian sativa side. The scent is described as being a combination of sweet, sour, and spicy, with a tropical fruit flavor. Effects are strong and felt from head to toe, lasting about 1-2 hours. Flowering time is 9-11 weeks, with a golden appearance closer to harvest. This sativa-dominant hybrid has a THC level of up to 23% and a CBD of 1.07%."
Golden-Lemon,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Tingly,Happy","Lemon,Citrus,Sweet","Golden Lemon by DNA Genetics is citrusy strain with a potent punch. This 60/40 indica-dominant hybrid is a cross between Kosher Kush and Lemon Skunk, and emits a distinctly pungent herbal, citrus aroma that speaks to its parentage. The effects immediately hit the consumer between the eyes, leaving bright, sizzling euphoria in the mind. Golden Lemon melts over the body and shows its sedating indica-dominant side with heavy consumption. Testing in at an average 23% THC, Golden Lemon is suited for seasoned cannabis connoisseurs. "
Golden-Nugget,hybrid,4.8,"Uplifted,Creative,Focused,Happy,Aroused","Sweet,Lime,Skunk","Golden Nugget by Greenpoint Seeds is a cross of Stardawg and Golden Goat. The strain is emerald green with bright pistils and has a tart, sweet terpene profile intermixed with a tropical fruit and spice. Golden Nugget’s robust body buzz sticks to the bones, assisting consumers with stress and fatigue. Utilize this strain throughout the day to elevate mood and spur creativity. "
Golden-Panda,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Pungent,Sweet,Citrus","Gold Panda is a cross between Golden Pineapple and Gold Nugget. This sativa-dominant hybrid has the earthiness and trichome production of Girl Scout Cookies, with light green buds that pack rich tropical and spicy notes. Like other Kush derivatives, this strain is built to fight physical discomfort, showing powerful body effects stilted by a luminous mental state brought forward by its recessive Jack Herer genetics. "
Golden-Pineapple,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Pineapple,Tropical,Citrus","Golden Pineapple is a hybrid cross between Golden Goat and Pineapple Kush that delivers creative, uplifting effects with a fruity, tropical flavor. Its aroma is remarkably similar to sour pineapple, providing a flavorful escape from stress, anxiety, and depression. Golden Pineapple’s engaged, active effects will give you the energy you need to keep going throughout your day, although in larger doses, it can be difficult to direct that focus effectively."
Golden-Soda,hybrid,0,None,None,"Golden Soda by Calyx Garden is a hybrid strain created by crossing Grape Soda and Golden Goat. This strain combines the sweet indica-leaning phenotype of Tahoe OG Kush (Grape Soda) with the bright, tropical flavors and effects of Golden Goat, creating a strain that is equally unique in fragrance and effect. Golden Soda’s aroma is a mixture of pine, lavender, and sweet, earthy grape. Its balanced effects improve mood while taking the edge off pain."
Golden-State-Banana,indica,4.8,"Euphoric,Relaxed,Sleepy,Creative,Happy","Citrus,Sweet,Tropical","Golden State Banana is a fruity indica cross of Ghost OG and Banana Kush. This semi-sedative strain fills the consumer’s mind with euphoria while wrapping the limbs in a warm, relaxing sensation. The aroma is a mixture of Ghost OG’s pungent, citrus terpenes and Banana Kush’s tropical scents, creating a rich bouquet with bright floral sweetness. Uplifting and relaxing, Golden State Banana’s effects are ideal for unwinding at the end of the day while elevating mood and frontloading creativity.  "
Golden-Tangie,sativa,3.5,"Focused,Happy,Aroused,Energetic,Tingly","Citrus,Orange,Earthy","Golden Tangie by Calyx Garden is a sativa-dominant strain with tropical terpenes and stimulating effects. It was created by combining Golden Goat and Tangie, forming a pungent and sticky flower that smells of citrus and pine. This strain’s invigorating effects can be immediately felt in the head, neck, and shoulders. Golden Tangie elevates the mood while dissipating stress as its potent euphoria settles into the body. Consumers seeking to overcome fatigue and remain active should consider this sativa.  "
Golden-Ticket,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Citrus,Earthy,Lemon","Golden Ticket from Archive Seeds Bank is a 50/50 hybrid strain that gives you special access to euphoria’s top floor. Combining genetics from Golden Goat and Face Off OG, Golden Ticket balances full-body relaxation with invigorating cerebral qualities. Its aroma is an enticing mix of tangy lemon, sweet lime, and sour skunk. Keep in mind, Golden Ticket may also refer to a phenotypic variation of Chernobyl, a hybrid from TGA Seeds."
Golden-Tiger,sativa,5,"Talkative,Uplifted,Energetic,Euphoric,Happy","Minty,Lemon,Apricot","Golden Tiger is a resinous flower created from two Thai strains and two separate Malawi cuts. Bred by Ace Seeds, this pure sativa flower is a complex blend of Koh Chang Thai and Hmong Thai crossed with Malawi and 3rd Generation Malawi. This powerful sativa is not for beginners, as it offers long-lasting stimulating effects often with a potent psychedelic bent. With a terpene profile that is bright with notes of floral spice and tart lemon, its vigorous physical and mental effects make this a sativa of the highest caliber. This strain’s long sativa lineage comes with a long 11 to 14 week flowering time."
Goldwing,sativa,4.7,"Uplifted,Happy,Euphoric,Creative,Energetic",,
Goo,indica,4.3,"Relaxed,Sleepy,Hungry,Euphoric,Happy","Berry,Blueberry,Sweet","Goo, not to be confused with Afgoo, is an 80% indica strain that mixes a sweet-tasting Blueberry with the hashy, resinous Hindu Kush. Deep physical relaxation is coupled with slight cerebral energy, delivered alongside a fruity, blueberry flavor with earthy and sour notes. You may begin to feel pangs of hunger settle in with this indica, making it a suitable medicine for those needing appetite boost. Patients treating insomnia, pain, and muscle spasms may also find relief in the heavy, sedating effects Goo has to offer. Cultivators should harvest Goo after a 7 to 8 week flowering time indoors or in early October for outdoor gardens."
Gooberry,indica,4.3,"Sleepy,Aroused,Hungry,Relaxed,Happy","Blueberry,Berry,Sweet","Gooberry is an indica-dominant strain descended from legendary parents Afgoo and Blueberry. This fruity, spicy strain will leave you giggling on your couch with upward of 20% THC. Consumers highly recommend this strain for night time use to treat pain and insomnia, and it's sure to leave you with the munchies. Like most indicas, Gooberry will flower in 7-9 weeks with a short, bushy structure. "
Good-Medicine,hybrid,4.3,"Uplifted,Energetic,Happy,Focused,Talkative","Earthy,Spicy/Herbal,Citrus","The name says it all with this CBD rich strain. Bred by CBD specialist Bodhi, Good Medicine crosses a Green Crack and Tres Dawg hybrid with the high-CBD Harlequin sativa. Offering sweet flavors of mango and candy followed by a mellow and relaxing high, Good Medicine is great for solving medical needs without keeping you on the couch."
Gorilla-Biscuit,indica,4.7,"Relaxed,Euphoric,Creative,Sleepy,Happy","Coffee,Pine,Cheese","Gorilla Biscuit by Seeds of Compassion is an indica-dominant cut bred from crossing the Turpentine pheno of Sensi Star and Stardawg IX. This rare and rather old school blend is named for Methaqualone, also known as quaaludes, a medication which has a sedative and sensual effect on the body. Its effects behave in a similarly sedative manner, leaving the limbs heavy and relaxed. Gorilla Biscuit has a strong terpene profile, smelling intensely of Pine Sol and espresso beans. "
Gorilla-Cookies,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Earthy,Minty","Gorilla Cookies by Elev8 Seeds is the powerful union of Gorilla Glue #4 and Thin Mint Girl Scout Cookies. The pungent Gorilla Glue aroma is loud, but Thin Mint’s exotic terpene profile adds nuance to the bouquet. Both parents were bred for potency and that shows in the resin-coated buds that harden like stones after curing. Enjoy this one-hitter quitter with care, as the effects will alter the trajectory of your entire day. Gorilla Cookies is a quality strain for managing physical pain, nausea, and stress. "
Gorilla-Grips,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Relaxed","Blueberry,Grape,Berry","Gorilla Grips by SinCity Seeds is a hard-hitting indica-dominant strain not meant for unseasoned cannabis consumers. Bred from the well-known Gorilla Glue #4 and SinCity’s own Blue Power stud, Gorilla Grips combines pungent aromas with potent effects. It offers a solid yield and an abundance of trichomes, making it ideal for hash production. This strain’s terpene profile is a mixture of fuel, pine, and sweet, dark fruit, resulting in a one-of-a-kind aroma. "
Gorkle,sativa,5,"Relaxed,Happy,Creative,Focused,Aroused",Sweet,Gorkle is a cross between The Fork and Rebel God Smoke. This sativa-dominant strain exhibits the better parts of it Hawaiian genetics through an uplifting and stimulating body buzz that lingers for hours. Its effects are also easy on the joints and limbs in a nod to its recessive Rug Burn OG genetics. Consumers seeking relief from fatigue and lethargy may also find this strain to be very useful. Enjoy Gorkle during the day to maximize its physical stimulation. This strain was handcrafted by Colorado Seed Inc. 
Government-Mule,indica,4,"Euphoric,Relaxed","Sweet,Lemon,Flowery","Government Mule by Cannacopia is a witty strain with relaxing effects. This clever cross of G13 and Deep Chunk riffs off G13’s mythos as the strain created by the United States government as well as a nod to The Allman Brothers’ side-project, Gov't Mule. It develops purple trichome-laden buds that are knotted and bulbous. The aroma is pungent and earthy while offering floral undertones that center the mind. Enjoy Government Mule later in the evening to maximize this strain’s calming, sedative effects.  "
Grand-Doggy-Purps,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly","Sweet,Grape,Earthy","Grand Doggy Purps, or more formerly Grand Doggy Purple, is an indica-dominant hybrid cross between Granddaddy Purple and a Chemdawg phenotype known as Chemdawg D. Bred by Connoisseur Seeds, this hybrid inherits an aromatic fusion of sweet grape and sour skunk. Though mostly indica, this strain's effects are lifted by cerebral energy, allowing focus and productivity in spite of its indica potency. "
Grand-Hindu,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Uplifted","Grape,Berry,Sweet","Grand Hindu is the potent cross of Granddaddy Purple and Hindu Kush. Both sides of this mix are apparent in the sweet grape aroma of this strain that is served up with a healthy dose of earthy kush spice. Flowers will also have the purple coloration that is indicative of its GDP genetics. Lazy and relaxing, this strain is a good choice for pain when zoning out is an option."
Grand-Hustle,hybrid,4.1,"Uplifted,Relaxed,Euphoric,Focused,Giggly","Honey,Earthy,Citrus","Grand Hustle is a hybrid strain that is designed to help give users a vacation from the hustle and bustle of their lives. A cross of Afgoo and Green Crack, this strain takes after the more sativa nature of the latter and provides uplifting, focused effects. Potent and well-balanced, this hustle is one that’s worth giving a try."
Granddaddy-Purple,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Grape,Berry,Sweet","Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross between Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrastive backdrop for its snow-like dusting of white crystal resin.Its potent psychoactive effects are clearly detectable in both mind and body, delivering a fusion of cerebral euphoria and physical relaxation. While your thoughts may float in a dreamy buzz, your body is more likely to find itself fixed in one spot for the duration of GDP’s effects. Like most heavy indica varieties, Granddaddy Purple is typically pulled off the shelf to treat pain, stress, insomnia, appetite loss, and muscle spasms. GDP blesses growers with massive commercial yields which are ready for harvest following a 60 day flowering time indoors."
Grandmas-Batch,hybrid,4.8,"Euphoric,Happy,Tingly,Uplifted,Creative","Butter,Lemon,Flowery","Grandma’s Batch by Purple Caper Seeds is a cross between Candyland and Girl Scout Cookies. This savory strain emits a sweet gas aroma while tasting sweet and doughy on the palate. The breeder has described the strain as “warm and fuzzy,” offering pleasant and relaxing physical effects suited to a day indoors. "
Grandmas-Sugar-Cookies,indica,5,"Relaxed,Happy,Energetic,Focused,Creative","Pungent,Sweet,Cheese","Grandma’s Sugar Cookies by Johnston’s Genetics is a sweet cross of Girl Scout Cookies and Black Sugar Berry. This strain brings GSC’s happy, heavyweight buzz together with the candied indica-dominant genetics of Black Sugar Berry (Black Sugar Rose x Plushberry) to offer consumers a delectable terpene profile rich with notes of anise, tart cherries, dough, and pungent earth. It behaves similarly to Girl Scout Cookies, but offers deeper relaxation that may lead to sleep. This strain’s strong, carefree effects make it ideal for folks looking to nullify stress and enhance mood.     "
Grandpa-Larry-Og,indica,4.4,"Euphoric,Happy,Relaxed,Sleepy,Focused","Grape,Pungent,Earthy","An instant classic from top tier genetics, Grandpa Larry OG is the next elite OG strain. Granddaddy Purple and Larry OG were crossed to create this indica that behaves more like a hybrid. With clear, creative thoughts paired with a subtle relaxing effect, this strain can relieve pain without locking you to the couch. Taking after Granddaddy Purple in growth, these dense dark green and purple buds are covered in trichomes and orange hairs."
Grandpas-Breath,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Creative","Earthy,Flowery,Lavender","Grandpa’s Breath is a semi-sedative indica-dominant strain that provides functional relaxation. This special cut combining parent strains OG Kush and Granddaddy Purple was bred by Dungeons Vault Genetics, and it emits pungent, earthy terpenes with a little fruitiness intermixed. Grandpa’s Breath has an above average yield, but also tends to take a touch longer to flower. Utilize Grandpa’s Breath in the evening to maximize the deep relaxation central to its effects.    "
Grape-Ape,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Sweet,Berry","Grape Ape, propagated by Apothecary Genetics and Barney’s Farm, is a mostly indica strain that crosses Mendocino Purps, Skunk, and Afghani. Named for its distinct grape-like smell, this indica is known for providing carefree relaxation that can help soothe pain, stress, and anxiety. Its dense, compact buds are wreathed in deep purple leaves which darken as this indica reaches full maturation following its 7 to 8 week flowering time."
Grape-Calyx,hybrid,5,"Uplifted,Creative,Euphoric,Happy,Hungry","Sweet,Grape,Flowery","Grape Calyx by Calyx Garden is a strain with deep roots in a half-dozen genetic parents. Calyx Garden has been breeding this strain since 2012 and began by crossing Durban Poison and Master Kush. The cross was then combined with SFV OG, which was then bred with Platinum Girl Scout Cookies. This “Suicide Girl” strain was then crossed with the rare Purple Pineapple to create a strain bursting with purple calyxes, appearing similar to a bunch of grapes dusted with trichomes. Grape Calyx is ideal for consumers seeking to relieve general physical discomfort, stimulate appetite, and enhance their mood.  "
Grape-Cookies,indica,4.6,"Relaxed,Creative,Uplifted,Sleepy,Euphoric","Grape,Berry,Diesel","Grape Cookies by Pisces Genetics is the rich indica-dominant cross between Forum Girl Scout Cookies and Grape Kush. With strong OG elements on one side, complex floral terpenes on the other, and flavors of sweet berry and grape throughout, this strain is a knockout. The frosted buds exhibit hints of lavender, rose, grape, that morph into subtle fuel and red wine on the exhale. "
Grape-Crush,hybrid,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry","Grape Crush (or Grapekrush) is an indica-heavy hybrid strain with just enough sativa to keep the high energizing and smooth. This plant was bred by DJ Short to be an outdoor grower, but with the right TLC, Grape Crush delivers indoors as well. The strain comes from Blueberry parents and inherited their purple to blue coloring and their namesake berry flavor. Grape Crush plants flower in 8-9 weeks, and the buds are intended to produce a slow-moving high that relaxes the body and inspires the mind."
Grape-Dawg,hybrid,0,None,None,"Grape Dawg is an indica-leaning hybrid created by Nebula Gardens. This grape phenotype was “mysteriously” given to Robert Meyer before circulating throughout the Pacific Northwest and is a cross between Lemon Kush and Alien Dawg. This strain’s delicious flavor is contrasted against the strain’s pungent, room filling aroma of sweet gas and citrus. Grape Dawg’s uplifting mental state coupled with nausea reduction and appetite stimulation make this an enjoyable accompaniment throughout the day, but especially before or after a meal. "
Grape-Drink,indica,4.7,"Tingly,Creative,Euphoric,Giggly,Happy","Grape,Sweet,Flowery","Grape Drink is a sweet cross of familiar genetics. Kimbo Kush x Grape God offer their best attributes to this indica, expressing themselves as large spear-shaped colas from Kimbo Kush and the intoxicatingly sweet aroma of Grape God. While Grape Drink’s sweet candy flavor is enough to win over consumers from coast to coast, its luscious body effects and reflective mental state make it a must-have. Enjoy Grape Drink in small doses for a manageable all-day indica, but continue to consume this heady cut and anticipate heavy body effects that lead toward rest and relaxation.       "
Grape-God,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Grape,Berry,Sweet","Grape God is an indica-dominant hybrid that combines God Bud and Grapefruit genetics. As its name suggests, this strain has a sweet grape aroma with earthy notes that activate on the exhale. Powerful, long-lasting euphoria knocks out stress, leaving your mood elevated and your body relaxed. "
Grape-Inferno,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Grape,Sweet,Diesel","Grape Inferno is a 70/30 indica-dominant strain bred by NorStar Genetics and propagated by TGA Genetics. A cross between Nepali OG and Querkle, Grape Inferno inherits a dense bud structure and a sweet grape aroma from which this strain gets its name. With flavorful undertones of hash and berries, Grape Inferno delivers a meditative and calming high that lets the body relax while the mind wanders. Its buds bloom in a colorful show of lavender, pink, red, and green."
Grape-Krush,indica,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry","Grape Crush (or Grapekrush) is an indica-heavy hybrid strain with just enough sativa to keep the high energizing and smooth. This plant was bred by DJ Short to be an outdoor grower, but with the right TLC, Grape Crush delivers indoors as well. The strain comes from Blueberry parents and inherited their purple to blue coloring and their namesake berry flavor. Grape Crush plants flower in 8-9 weeks, and the buds are intended to produce a slow-moving high that relaxes the body and inspires the mind."
Grape-Kush,hybrid,3.9,"Relaxed,Happy,Giggly,Sleepy,Euphoric","Grape,Sweet,Earthy","DJ Short's Grape Kush is a productive marijuana hybrid strain that has sharp and fruity aromas. The effects are long-lasting and powerful, inducing euphoric head effects and a relaxed body."
Grape-Ox,indica,4.6,"Sleepy,Relaxed,Hungry,Tingly,Uplifted","Grape,Cheese,Sweet","Grape OX is a 90% indica strain bred by Rare Dankness, who crossed Grape Ape with the OX to achieve this potent, purple-hued variety. Its aroma is a sweet blend of grape and blueberry, flavors best captured between 60 and 65 days into Grape OX’s indoor flowering cycle. Grape OX took 3rd place in the indica category of High Times’ 2014 Michigan Medical Cannabis Cup."
Grape-Skunk,indica,4.1,"Happy,Relaxed,Giggly,Tingly,Euphoric","Grape,Sweet,Skunk","This indica-dominant strain is a fruity cross of three strains: Grapefruit, Super Skunk, and Blueberry. Grape Skunk has a strong odor that is mostly berries with some skunky earthiness underneath. While growing, Grape Skunk plants have typically indica characteristics, remaining short and bushy and flowering quickly at 7 to 8 weeks. Buds are dense and will release a feeling of allover calm for patients. Plants can be grown both indoors and outdoors and may have some electric blue coloring depending on environment."
Grape-Soda,hybrid,4.9,"Relaxed,Happy,Euphoric,Uplifted,Creative","Grape,Citrus,Sweet","A strong and fast-acting phenotype of Tahoe OG Kush, Grape Soda by Taste Budz is an excellent evening strain. It provides an idle, heavy-bodied sensation that frees you from worry. The sweet and pungent purple buds give this heady phenotype a very distinct look and flavor. Grape Soda features a pungent citrus aroma with notable grape notes on the palate, and the breeder recommends this strain for depression, anxiety, insomnia, indigestion, inflammation, and minor pain."
Grape-Valley-Kush,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Aroused","Berry,Grape,Pine",Grape Valley Kush is an indica-dominant cross of SFV OG and Grape Kush bred by Moxie Seeds. The earthy aroma of this strain mixes with flavors of pine and sweet citrus to bring on full-bodied relaxation with a hint of social energy that makes this strain good for relaxing with friends in your down time.
Grapefruit,sativa,4.3,"Uplifted,Energetic,Happy,Euphoric,Focused","Grapefruit,Citrus,Sweet","This potent sativa was developed by crossing Cinderella 99 with a fast-flowering sativa selected for its rich grapefruit flavor. The tropical, citrus smell of Grapefruit mixes with energetic effects to give you a happy stress-reliever that also works well for battling migraine headaches."
Grapefruit-Diesel,hybrid,4.2,"Focused,Energetic,Relaxed,Euphoric,Happy","Grapefruit,Citrus,Diesel","Grapefruit Diesel is a hybrid strain that is usually indica-dominant but gives most users a focused mental high that is more commonly associated with sativas. The genetics on this one aren’t hard to guess: its parents are Grapefruit and NYC Diesel. These plants show more of their indica side when growing, staying short and branchy and flowering within 8 weeks. Grapefruit Diesel’s flowers sometimes have hints of pink coloring and a potent smell of over ripe citrus fruit. With THC levels between 15 and 20%, the effects should be as strong as the scent. The energetic buzz comes on fast but tends to smooth out over time."
Grapefruit-Haze,sativa,4.4,"Uplifted,Happy,Energetic,Euphoric,Relaxed","Diesel,Earthy,Grapefruit",The famous Grapefruit strain and the Super Silver Haze come together for a very strong hybrid. A beautiful blend of fruity and spicy flavours with a very cerebral high.
Grapefruit-Kush,hybrid,4.3,"Happy,Uplifted,Relaxed,Focused,Creative","Grapefruit,Sweet,Citrus","This cannabis strain is a cross of BC Kush and Grapefruit, Grapefruit Kush is one of the classic old-school Afghani Kush strains.  Large buds with a fruity hash taste, produces enjoyable smooth and creamy smoke with a great high."
Gravity,indica,4,"Sleepy,Hungry,Relaxed,Aroused,Euphoric","Sweet,Citrus,Rose","Gravity is an indica strain of marijuana that, due to its high CBD content, is becoming a popular recommendation for the treatment of chronic pain and the stress often associated with chronic pain conditions. The strain comes from Hash Plant and Northern Lights stock and, as expected, delivers a strong body sensation that makes this a popular nighttime strain. Effects can be more active for some but will still offer deep relaxation. Gravity’s dense buds will have a nice contrast of coppery-red hairs and should have a floral aroma and a sweet and sour fruit taste."
Grease-Monkey,hybrid,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Diesel","Grease Monkey is a sweet, earthy strain with strong skunky overtones. Created by Exotic Genetix, Grease Monkey is a cross of Gorilla Glue #4 x Cookies and Cream. This strain’s indica-dominant genetics saddle the consumer with a lazy, munchie-fueled body buzz that softens the blow of chronic pain, nausea, and stress. While defined as a hybrid, this Grease Monkey’s deep relaxation will naturally lead some consumers toward sleep, so mind your dosage.   "
Green-Avenger,hybrid,5,"Energetic,Happy,Uplifted,Creative,Euphoric","Sweet,Minty,Honey","The celebrated breeder Subcool is well-known for his fondness of Brothers Grimm genetics, having used several of their strains in his breeding projects. As a thank you for championing their genetics while they were on a long hiatus from the seed business, the now active Brothers Grimm named a special hybrid after his seed company TGA (The Green Avengers). After finding a special male in a pack of TGA’s Vortex, they decided to cross it with their Genius, one of the most sought after Apollo 11 phenotypes. The result is Green Avenger, a squat, branchy plant with long, sticky colas of tropical, fruity smelling flowers. With notes of pineapple and citrus, Green Avenger delivers a speedy, euphoric rush."
Green-Candy,sativa,4.3,"Uplifted,Happy,Relaxed,Focused,Giggly","Earthy,Sweet,Tobacco",Green Candy is a hybrid marijuana strain that's a cross between Candy Kush and Green Crack. It provides a cerebral sensation and relaxing body effects.
Green-Cheese,hybrid,4.1,"Euphoric,Relaxed,Energetic,Focused,Creative","Pungent,Cheese,Earthy","Green Cheese is the hybrid cross of a Cheese phenotype and the ever-stimulating Green Crack. This strain has earthy cheese and herbaceous smells intermixed with Green Crack’s sweet and citrus notes. It is mentally and physically invigorating, offering an immediate mental punch that is driven by creative thoughts and a springy physical energy. Green Cheese helps elevate mood, but don’t plan on accomplishing much as this strain is a one-way ticket to the whimsical shores of La La Land."
Green-Crack,sativa,4.3,"Energetic,Happy,Uplifted,Focused,Euphoric","Earthy,Citrus,Sweet","Don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is the perfect daytime medication for patients treating fatigue, stress, and depression.Green Crack has branched into two genetic lineages, the most common of which is its sativa line descended from Skunk #1. The 75% indica variety of Green Crack is said to have come from an Afghani strain, and is marked by a tighter bud structure. Because its name perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead."
